Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
Mercedes Benz GL 4Matic,2011,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 4.7 L,Đen,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,755 Triệu,755000000,https://bonbanh.com/xe-mercedes_benz-gl-450-4matic-2011-5636643
Hyundai Tucson ATH,2020,"56,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,665 Triệu,665000000,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2020-6457134
Toyota Yaris,2010,"28,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.3 L,Bạc,Đen,5 chỗ,FWD - Dẫn động cầu trước,229 Triệu,229000000,https://bonbanh.com/xe-toyota-yaris-1.3-at-2010-6457059
Toyota Land Cruiser V6,2024,"23,330 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Đen,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ,5000000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-6362985
Mercedes Benz C class C300 AMG,2021,"44,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Nhiều màu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 559 Triệu,1559000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-6379551
Suzuki Swift GLX,2018,"67,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,398 Triệu,398000000,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2018-6415476
Hyundai Accent,2014,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng 1.4 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,285 Triệu,285000000,https://bonbanh.com/xe-hyundai-accent-1.4-at-2014-6257200
Rolls Royce Phantom V12,2009,"66,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.7 L,Đen,Đen,4 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 300 Triệu,9300000000,https://bonbanh.com/xe-rolls_royce-phantom-6.7-v12-2009-5909901
Mitsubishi Triton Mivec,2020,"70,003 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.4 L,Ghi,Đen,5 chỗ,RFD - Dẫn động cầu sau,499 Triệu,499000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-2020-6456821
Mazda,2016,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,438 Triệu,438000000,https://bonbanh.com/xe-mazda-6-2.0-at-2016-6275012
Mazda Luxury,2019,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,460 Triệu,460000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2019-6169822
Ford Ranger XLS,2022,"820,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,605 Triệu,605000000,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2022-6249038
Kia Morning VAN,2011,"120,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng 1.0 L,Bạc,Ghi,2 chỗ,FWD - Dẫn động cầu trước,135 Triệu,135000000,https://bonbanh.com/xe-kia-morning-van-1.0-at-2011-6427782
Bentley Continental GT,2008,0 Km,Nhập khẩu,Coupe,Số tự động,Xăng 6.0 L,Xanh,Kem,4 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 500 Triệu,2500000000,https://bonbanh.com/xe-bentley-continental-gt-2008-6456600
Mercedes Benz E class E300 AMG,2022,"19,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 699 Triệu,1699000000,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-6170010
LandRover Range Rover SV Autobiography LWB,2016,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 5.0 L,Trắng,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 980 Triệu,4980000000,https://bonbanh.com/xe-landrover-range_rover-sv-autobiography-lwb-5.0-2016-6178249
Rolls Royce Ghost Series II EWB,2016,"26,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.6 L,Trắng,Nhiều màu,4 chỗ,AWD - 4 bánh toàn thời gian,15 Tỷ,15000000000,https://bonbanh.com/xe-rolls_royce-ghost-series-ii-ewb-2016-6050968
LandRover Range Rover HSE,2014,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 950 Triệu,1950000000,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2014-6327795
Bentley Bentayga V8,2020,"48,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,10 Tỷ 888 Triệu,10888000000,https://bonbanh.com/xe-bentley-bentayga-4.0-v8-2020-6391714
Bentley Flying Spur First Edition W12,2021,"9,999 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Xanh,Kem,5 chỗ,RFD - Dẫn động cầu sau,13 Tỷ 499 Triệu,13499000000,https://bonbanh.com/xe-bentley-flying_spur-first-edition-w12-2021-6346517
Mercedes Benz GLS 4Matic,2021,"55,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đỏ,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 790 Triệu,3790000000,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-6327823
BMW i8 Hybrid,2015,"40,000 Km",Nhập khẩu,Coupe,Số tự động,Hybrid 1.5 L,Trắng,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-bmw-i8-1.5l-hybrid-2015-6152999
Mercedes Benz GLC 4Matic,2021,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 580 Triệu,1580000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6217721
BMW Series 430i Convertible,2021,0 Km,Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Xanh,Kem,4 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 489 Triệu,2489000000,https://bonbanh.com/xe-bmw-4_series-430i-convertible-2021-6337055
Rolls Royce Wraith V12,2014,"37,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng 6.6 L,Trắng,Đỏ,4 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 800 Triệu,9800000000,https://bonbanh.com/xe-rolls_royce-wraith-6.6-v12-2014-6344991
Bentley Mulsanne,2015,"50,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.8 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,7 Tỷ 700 Triệu,7700000000,https://bonbanh.com/xe-bentley-mulsanne--2015-6152600
Mercedes Benz Maybach S400,2016,"64,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-mercedes_benz-maybach-s400-2016-6323853
Bentley Continental GT W12,2019,"16,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng 6.0 L,Trắng,Kem,4 chỗ,AWD - 4 bánh toàn thời gian,11 Tỷ 500 Triệu,11500000000,https://bonbanh.com/xe-bentley-continental-gt-w12-2019-6396717
Mercedes Benz S class S400L,2015,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,990 Triệu,990000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-6395189
Mercedes Benz S class S450,2022,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 650 Triệu,3650000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450-2022-6393138
Mercedes Benz GLC 4Matic,2021,"40,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 390 Triệu,1390000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-6393076
Mercedes Benz S class S400L,2017,"96,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 450 Triệu,1450000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2017-6326422
Mercedes Benz S class S500L,2015,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng 4.7 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 195 Triệu,1195000000,https://bonbanh.com/xe-mercedes_benz-s_class-s500l-2015-6380370
Mercedes Benz GLC 4Matic,2022,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 550 Triệu,1550000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-6380346
Mercedes Benz S class S400L,2016,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 330 Triệu,1330000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-6379298
Lexus RX,2015,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Vàng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 880 Triệu,1880000000,https://bonbanh.com/xe-lexus-rx-200t-2015-6285138
Toyota Land Cruiser V6,2023,"36,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Đen,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 186 Triệu,5186000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-6456556
Lexus RX F Sport,2023,"14,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.4 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 268 Triệu,4268000000,https://bonbanh.com/xe-lexus-rx-350-f-sport-2023-6454739
Toyota Land Cruiser VXR V6,2021,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Đen,Đỏ,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 789 Triệu,5789000000,https://bonbanh.com/xe-toyota-land_cruiser-vxr-3.5-v6-2021-6431861
Mazda Premium,2017,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.5 L,Đỏ,Ghi,5 chỗ,FWD - Dẫn động cầu trước,439 Triệu,439000000,https://bonbanh.com/xe-mazda-6-2.5l-premium-2017-6407993
Mercedes Benz C class C300 AMG,2022,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 589 Triệu,1589000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-6428425
Mazda Luxury,2023,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,570 Triệu,570000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2023-6435296
Volvo XC60 T5,2014,"68,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Vàng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,579 Triệu,579000000,https://bonbanh.com/xe-volvo-xc60-t5-2014-6441433
Honda HRV RS,2023,"20,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,785 Triệu,785000000,https://bonbanh.com/xe-honda-hrv-rs-2023-6456415
BMW Series 420i Convertible,2019,"60,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Trắng,Nâu,4 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 690 Triệu,1690000000,https://bonbanh.com/xe-bmw-4_series-420i-convertible-2019-6433486
Toyota Raize G,2023,"10,005 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.0 L,Trắng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,500 Triệu,500000000,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2023-6456406
Mercedes Benz GLC 4Matic,2016,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Xám,5 chỗ,AWD - 4 bánh toàn thời gian,755 Triệu,755000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2016-6456403
VinFast Lux SA Tiêu chuẩn,2022,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,7 chỗ,RFD - Dẫn động cầu sau,730 Triệu,730000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-tieu-chuan-2022-6456400
Honda City RS,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Nâu,Đen,5 chỗ,FWD - Dẫn động cầu trước,439 Triệu,439000000,https://bonbanh.com/xe-honda-city-rs-1.5-at-2022-6419145
Chevrolet Spark LT,2009,"50,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 0.8 L,Vàng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,65 Triệu,65000000,https://bonbanh.com/xe-chevrolet-spark-lt-0.8-at-2009-6420094
Mazda Deluxe,2020,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,480 Triệu,480000000,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2020-6456376
Mazda,2018,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,370 Triệu,370000000,https://bonbanh.com/xe-mazda-2-1.5-at-2018-6456349
Mazda CX8 Premium,2023,"30,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Nâu,7 chỗ,FWD - Dẫn động cầu trước,920 Triệu,920000000,https://bonbanh.com/xe-mazda-cx8-premium-2023-6456344
Kia Carnival Signature .2D,2024,"40,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Trắng,Cam,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 390 Triệu,1390000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2024-6456335
Kia Sorento Signature,2023,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 20 Triệu,1020000000,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2023-6456330
Hyundai SantaFe Cao cấp HTRAC,2022,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 30 Triệu,1030000000,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-6456323
Peugeot GT Line,2023,"30,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.2 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,660 Triệu,660000000,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2023-6456303
VinFast Lux A Nâng cao,2022,"130,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xanh,Nâu,5 chỗ,RFD - Dẫn động cầu sau,500 Triệu,500000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-nang-cao-2022-6456298
Toyota Yaris,2010,"38,888 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.3 L,Bạc,Kem,5 chỗ,FWD - Dẫn động cầu trước,379 Triệu,379000000,https://bonbanh.com/xe-toyota-yaris-1.3-at-2010-6258507
Mercedes Benz S class S400L,2016,"76,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 290 Triệu,1290000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-6433410
Ford Ranger XLS,2018,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,490 Triệu,490000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2018-6442760
BMW X3 sDrive20i M Sport,2024,"9,900 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đỏ,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 939 Triệu,1939000000,https://bonbanh.com/xe-bmw-x3-sdrive20i-m-sport-2024-6436271
Ford Focus,2010,"150,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.8 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,145 Triệu,145000000,https://bonbanh.com/xe-ford-focus-1.8-at-2010-6389915
Hyundai Palisade Prestige HTRAC,2023,"10,005 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Đen,Đỏ,6 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 399 Triệu,1399000000,https://bonbanh.com/xe-hyundai-palisade-prestige-2.2-at-htrac-2023-6456041
Mazda CX5 Deluxe,2020,"860,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,645 Triệu,645000000,https://bonbanh.com/xe-mazda-cx5-2.0-deluxe-2020-6456033
Mazda Luxury,2022,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,555 Triệu,555000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2022-6456024
Hyundai Tucson Turbo HTRAC Đặc biệt,2025,"4,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,990 Triệu,990000000,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2025-6456015
Ford Territory Titanium,2025,"1,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Màu khác,5 chỗ,FWD - Dẫn động cầu trước,835 Triệu,835000000,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2025-6455965
Hyundai SantaFe Cao cấp HTRAC,2023,"40,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Đen,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 240 Triệu,1240000000,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2023-6455948
Hyundai SantaFe Cao cấp HTRAC,2022,"40,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 65 Triệu,1065000000,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-6455941
Toyota Camry LE,2009,"100,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,425 Triệu,425000000,https://bonbanh.com/xe-toyota-camry-le-2.5-2009-6168678
Toyota Fortuner .5G,2016,0 Km,Lắp ráp trong nước,SUV,Số tay,Dầu 2.5 L,Trắng,Kem,7 chỗ,RFD - Dẫn động cầu sau,490 Triệu,490000000,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-6455868
Toyota Innova G,2008,"200,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Cát,Kem,8 chỗ,RFD - Dẫn động cầu sau,162 Triệu,162000000,https://bonbanh.com/xe-toyota-innova-g-2008-6455844
Honda CRV,2015,"14,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,465 Triệu,465000000,https://bonbanh.com/xe-honda-crv-2.4-at-2015-6348315
Ford Ranger Wildtrak,2016,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 3.2 L,Cam,Nhiều màu,5 chỗ,4WD - Dẫn động 4 bánh,529 Triệu,529000000,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2016-6169358
Mercedes Benz S class S450,2022,"40,233 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 789 Triệu,3789000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450-2022-6169998
Hyundai Elantra,2017,"70,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,385 Triệu,385000000,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2017-6444199
Mitsubishi Attrage,2021,"150,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.2 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,285 Triệu,285000000,https://bonbanh.com/xe-mitsubishi-attrage-1.2-cvt-2021-6455622
Nissan X trail SV,2016,"40,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,7 chỗ,4WD - Dẫn động 4 bánh,485 Triệu,485000000,https://bonbanh.com/xe-nissan-x_trail-2.5-sv-4wd-2016-6453890
Honda CRV,2015,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,469 Triệu,469000000,https://bonbanh.com/xe-honda-crv-2.0-at-2015-6406039
Mazda,2015,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,338 Triệu,338000000,https://bonbanh.com/xe-mazda-3-1.5-at-2015-6453797
Toyota Yaris .5E,2016,"50,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Đỏ,Kem,5 chỗ,FWD - Dẫn động cầu trước,358 Triệu,358000000,https://bonbanh.com/xe-toyota-yaris-1.5e-2016-6454996
Toyota Corolla Cross .8V,2023,"19,695 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,760 Triệu,760000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2023-6455573
Ford Everest Titanium,2023,"10,003 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Trắng,Nâu,7 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 225 Triệu,1225000000,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2023-6455567
Toyota Land Cruiser V8,2020,"10,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.6 L,Đen,Đen,8 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 50 Triệu,4050000000,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2020-6444184
Kia Carens .5G Luxury,2025,"15,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Đen,7 chỗ,FWD - Dẫn động cầu trước,645 Triệu,645000000,https://bonbanh.com/xe-kia-carens-1.5g-luxury-2025-6449950
Porsche Cayenne GTS,2008,"115,600 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.8 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,580 Triệu,580000000,https://bonbanh.com/xe-porsche-cayenne-gts-2008-6026326
Ford Laser GHIA,2003,"160,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,120 Triệu,120000000,https://bonbanh.com/xe-ford-laser-ghia-1.8-at-2003-6292879
Toyota Camry .0E,2009,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Bạc,Kem,5 chỗ,FWD - Dẫn động cầu trước,320 Triệu,320000000,https://bonbanh.com/xe-toyota-camry-2.0e-2009-5875409
Mazda,2003,"179,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng 2.0 L,Đen,Xám,5 chỗ,FWD - Dẫn động cầu trước,92 Triệu,92000000,https://bonbanh.com/xe-mazda-626-2.0-mt-2003-6250745
Mercedes Benz GLC 4Matic,2017,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,930 Triệu,930000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-6455468
Ford Ranger Raptor,2019,"66,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đỏ,Nhiều màu,5 chỗ,4WD - Dẫn động 4 bánh,835 Triệu,835000000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2019-6386764
Chevrolet Cruze LTZ,2013,"88,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Bạc,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,234 Triệu,234000000,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2013-6266486
Toyota Prado TXL,2016,"140,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 299 Triệu,1299000000,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2016-6168643
Mercedes Benz GLS 4Matic,2016,"97,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Nâu,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 495 Triệu,1495000000,https://bonbanh.com/xe-mercedes_benz-gls-400-4matic-2016-6455445
BMW Series 528i GT,2015,"14,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,999 Triệu,999000000,https://bonbanh.com/xe-bmw-5_series-528i-gt-2015-6455453
Toyota Vios .5G,2004,"250,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Cát,Kem,5 chỗ,FWD - Dẫn động cầu trước,100 Triệu,100000000,https://bonbanh.com/xe-toyota-vios-1.5g-2004-6455414
Toyota Prado TXL,2013,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Xanh,Đen,7 chỗ,4WD - Dẫn động 4 bánh,820 Triệu,820000000,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2013-6455421
Toyota Yaris Cross D,2025,"4,857 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,645 Triệu,645000000,https://bonbanh.com/xe-toyota-yaris-cross-1.5-d-cvt-2025-6455415
